CVE_HOM_ACUIFERO,NOMBRE DE ACUÍFERO HOMOLOGADO
0823,CONEJOS-MÉDANOS
2901,ALTO ATOYAC
0216,LA TRINIDAD
1440,VALLE DE JUÁREZ
1446,CUQUÍO
2202,VALLE DE AMAZCALA
2019,CHACAHUA
0802,ALTA BABÍCORA
0104,VENADERO
2704,CENTLA
0701,PALENQUE
2021,MORRO-MAZATÁN
1222,TECPAN
1318,ACAXOCHITLÁN
1919,CAMPO CERRITOS
1610,CIUDAD HIDALGO-TUXPAN
2902,SOLTEPEC
2613,RÍO ALISOS
2628,RÍO BACANUCHI
2622,LA POZA
2618,ARIVAIPA
1233,COPALA
0861,VALLE DEL PESO
1234,MARQUELIA
1316,TEPEJI DEL RÍO
0820,IGNACIO ZARAGOZA
1021,PEDRICEÑA-VELARDEÑA
1103,OCAMPO
0834,PARRAL-VALLE DEL VERANO
1804,VALLE DE MATATIPAC
3215,ÁBREGO
2634,RÍO MÁTAPE
0811,LAS PALMAS
1809,VALLE IXTLÁN-AHUACATLÁN
1121,LAGO DE CUITZEO
1457,COLOTLÁN
0708,LA TRINITARIA
0608,JALIPA-TAPEIXTLES
2706,MACUSPANA
0219,CAMALÚ
0227,VILLA DE JESÚS MARÍA
2707,LOS RÍOS
0248,REAL DEL CASTILLO
0304,LA PURÍSIMA
0713,MARQUÉS DE COMILLAS
3002,TECOLUTLA
2708,BOCA DEL CERRO
1228,CHILPANCINGO
1437,TEQUILA
1207,TLACOTEPEC
1319,TECOCOMULCO
2647,ÓNAVAS
0526,SERRANÍA DEL BURRO
2643,CUCHUJAQUI
2638,RÍO SAHUARIPA
2653,HUÁSABAS
0307,SANTA RITA
2012,CUICATLÁN
1213,LA UNIÓN
0325,EL COYOTE
2655,NÁCORI CHICO
0846,CARICHI-NONOAVA
0208,OJOS NEGROS
0833,VALLE DE JUÁREZ
2656,CUMURIPA
0311,LA MATANZA
2616,RÍO SAN PEDRO
2657,AGUA CALIENTE
1223,ATOYAC
1221,SAN LUIS
0826,LOS LAMENTOS
2651,BATEVITO
1116,VALLE DE LA CUEVITA
0839,MANUEL BENAVIDES
0332,MULEGÉ
0318,CABO PULMO
0321,SAN BARTOLO
3201,SABINAS
0225,BAHÍA DE SAN LUIS GONZAGA
2658,SAN BERNARDO
0315,PLUTARCO ELÍAS CALLES
1453,LOS PUENTES
1431,CUAUTITLÁN
0858,LA NORTEÑA
3219,EL SALVADOR
2644,FUERTE-MAYO
0712,SAN CRISTÓBAL LAS CASAS
1216,BAHÍA DE ZIHUATANEJO
1027,CABRERA
0313,TODOS SANTOS
1208,ALTAMIRANO-CUTZAMALA
0326,ALFREDO V. BONFIL
0845,SAN FELIPE DE JESÚS
1458,MIXTLÁN
0859,MADERA
2813,ZONA SUR
1309,CHAPANTONGO-ALFAJAYUCAN
0334,SAN BRUNO
3208,NOCHISTLÁN
3202,HIDALGO
1621,COAHUAYANA
2014,HUAJUAPAN DE LEÓN
1227,LA SABANA
3233,PINO SUÁREZ
1812,VALLE DE SANTA MARÍA DEL ORO
0201,TIJUANA
1215,IXTAPA
1225,CONCHERO
0715,OCOSINGO
0503,CERRO COLORADO-LA PARTIDA
1618,PLAYA AZUL
3221,CAMACHO
1702,CUAUTLA-YAUTEPEC
0232,PUNTA CANOAS-SAN JOSÉ
1456,SAN MARTÍN DE BOLAÑOS
1411,EL MUERTO
0522,PRESA LA AMISTAD
2510,RÍO BALUARTE
1224,COYUCA
2013,COATZACOALCOS
1202,HUITZUCO
1407,AGUACATE
1907,CAMPO BUENOS AIRES
3003,MARTÍNEZ  DE LA TORRE-NAUTLA
0236,LA RUMOROSA-TECATE
0222,SAN FELIPE-PUNTA ESTRELLA
0223,VALLE CHICO-SAN PEDRO MÁRTIR
0303,SAN IGNACIO
0204,LOS MÉDANOS
0247,EL SOCORRO
1425,VISTA DEL MAR
2614,COCÓSPERA
1226,BAHÍA DE ACAPULCO
2649,YÉCORA
0513,PALESTINA
2022,BAJOS DE CHILA
2406,VILLA DE ARRIAGA
1443,MARAVILLA
1619,OSTULA
0815,LAGUNA EL DIABLO
1448,OJUELOS
0517,LAGUNA EL GUAJE
1205,IGUALA
0336,SANTA ÁGUEDA
2645,RÍO CHICO
1218,SAN JERONIMITO
2305,ÍSLA DE COZUMEL
2805,JIMÉNEZ-ABASOLO
3009,OMEALCA-HUIXCOLOTLA
0310,MELITÓN ALBAÑEZ
3234,SALDAÑA
1206,CHILAPA
1220,COYUQUILLA
1217,COACOYUL
1204,BUENAVISTA DE CUÉLLAR
1214,PANTLA
1412,20 DE NOVIEMBRE
2015,TAMAZULAPAN
1015,SAN FERMÍN
0231,SANTA CATARINA
1219,PETATLÁN
0002,SUBYACENTE AL ACUÍFERO
1210,PASO DE ARENA
1321,AMAJAC
1231,SAN MARCOS
1201,TLAPA-HUAMUXTITLÁN
1211,COAHUAYUTLA
1441,BARRERAS
2630,ARROYO SAN BERNARDINO
2023,MARISCALA
1232,NEXPA
